x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Roll,AttackedFuture_Roll,V9PredictedFuture_Roll,Residual_Roll,AbsResidual_Roll,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile
0.0,baseline_01_hover,Roll,pulse,0.05492,0,0.0996062159538269,0.0996062159538269,0.1016504613159245,-0.002044245362097602,0.002044245362097602,0.006865,0,0.0,0.002044245362097602,0,0,0,W10_N3_mean1x,10,3,1.0,1001,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv
0.09996,baseline_01_hover,Roll,pulse,0.05492,0,0.0967454463243484,0.0967454463243484,0.0944933953041651,0.0022520510201832905,0.0022520510201832905,0.006865,0,0.0,0.0021481481911404463,0,0,0,W10_N3_mean1x,10,3,1.0,1001,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv
0.19992,baseline_01_hover,Roll,pulse,0.05492,0,0.0985469743609428,0.0985469743609428,0.100125164647022,-0.0015781902860791952,0.0015781902860791952,0.006865,0,0.0,0.001958162222786696,0,0,0,W10_N3_mean1x,10,3,1.0,1001,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv
0.29988,baseline_01_hover,Roll,pulse,0.05492,0,0.097006469964981,0.097006469964981,0.0956764921524934,0.001329977812487601,0.001329977812487601,0.006865,0,0.0,0.0018011161202119222,0,0,0,W10_N3_mean1x,10,3,1.0,1001,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv
0.39984,baseline_01_hover,Roll,pulse,0.05492,0,0.095435120165348,0.095435120165348,0.0946690713731252,0.0007660487922227927,0.0007660487922227927,0.006865,0,0.0,0.0015941026546140962,0,0,0,W10_N3_mean1x,10,3,1.0,1001,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv
0.4998,baseline_01_hover,Roll,pulse,0.05492,0,0.097215861082077,0.097215861082077,0.1001064502103127,-0.002890589128235699,0.002890589128235699,0.006865,0,0.0,0.00181018373355103,0,0,0,W10_N3_mean1x,10,3,1.0,1001,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv
0.59976,baseline_01_hover,Roll,pulse,0.05492,0,0.0957150682806968,0.0957150682806968,0.0958744555094219,-0.00015938722872510525,0.00015938722872510525,0.006865,0,0.0,0.0015743556614330409,0,0,0,W10_N3_mean1x,10,3,1.0,1001,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv
0.69972,baseline_01_hover,Roll,pulse,0.05492,0,0.0946235284209251,0.0946235284209251,0.0959597038568284,-0.0013361754359032946,0.0013361754359032946,0.006865,0,0.0,0.0015445831332418225,0,0,0,W10_N3_mean1x,10,3,1.0,1001,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv
0.79968,baseline_01_hover,Roll,pulse,0.05492,0,0.0918107703328132,0.0918107703328132,0.0908062940832631,0.001004476249550093,0.001004476249550093,0.006865,0,0.0,0.0014845712572760749,0,0,0,W10_N3_mean1x,10,3,1.0,1001,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv
0.89964,baseline_01_hover,Roll,pulse,0.05492,0,0.085871547460556,0.085871547460556,0.0808915157051705,0.0049800317553855,0.0049800317553855,0.006865,0,0.0,0.0018341173070870174,0,0,0,W10_N3_mean1x,10,3,1.0,1001,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv
0.9996,baseline_01_hover,Roll,pulse,0.05492,0,0.0821436122059822,0.0821436122059822,0.078862415426217,0.003281196779765197,0.003281196779765197,0.006865,0,0.0,0.001957812448853777,0,0,0,W10_N3_mean1x,10,3,1.0,1001,Roll_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_01_hover_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_01_hover_ATT_trained_hybrid_prediction_outputs.csv
