x,Baseline,Axis,AttackType,AttackMagnitude,AttackActive,CleanFuture_Yaw,AttackedFuture_Yaw,V9PredictedFuture_Yaw,Residual_Yaw,AbsResidual_Yaw,Threshold,PointDetectionFlag,WindowCount,RollingMeanAbsResidual,WindowCountFlag,WindowMeanFlag,WindowCombinedFlag,WindowRule,W,N,RollingMeanMultiplier,AlignmentOffset,PredictionColumn,CleanFile,PredictionFile,Yaw_recovered_future_v9_phase5,Yaw_recovery_source_phase5,Yaw_attacked_error_vs_clean_phase5,Yaw_recovered_error_vs_clean_phase5
0.0,baseline_04_yaw_rotation,Yaw,ramp,0.022782,0,172.5936737060547,172.5936737060547,172.59325408935547,0.0004196166992187,0.0004196166992187,0.003797,0,0.0,0.0004196166992187,0,0,0,W20_N5_mean1.25x,20,5,1.25,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.5936737060547,attacked_measurement,0.0,0.0
0.100793,baseline_04_yaw_rotation,Yaw,ramp,0.022782,0,172.59327697753906,172.59327697753906,172.5930587768555,0.0002182006835766,0.0002182006835766,0.003797,0,0.0,0.0003189086913977,0,0,0,W20_N5_mean1.25x,20,5,1.25,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59327697753906,attacked_measurement,0.0,0.0
0.200753,baseline_04_yaw_rotation,Yaw,ramp,0.022782,0,172.59251403808594,172.59251403808594,172.59209442138672,0.0004196166992187,0.0004196166992187,0.003797,0,0.0,0.000352478027338,0,0,0,W20_N5_mean1.25x,20,5,1.25,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59251403808594,attacked_measurement,0.0,0.0
0.300713,baseline_04_yaw_rotation,Yaw,ramp,0.022782,0,172.5924530029297,172.5924530029297,172.59241943359376,3.356933592613132e-05,3.356933592613132e-05,0.003797,0,0.0,0.000272750854485,0,0,0,W20_N5_mean1.25x,20,5,1.25,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.5924530029297,attacked_measurement,0.0,0.0
0.400673,baseline_04_yaw_rotation,Yaw,ramp,0.022782,0,172.59283447265625,172.59283447265625,172.59304428100586,-0.0002098083496093,0.0002098083496093,0.003797,0,0.0,0.0002601623535099,0,0,0,W20_N5_mean1.25x,20,5,1.25,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59283447265625,attacked_measurement,0.0,0.0
0.500633,baseline_04_yaw_rotation,Yaw,ramp,0.022782,0,172.59323120117188,172.59323120117188,172.59344940185548,-0.0002182006836051,0.0002182006836051,0.003797,0,0.0,0.0002531687418591,0,0,0,W20_N5_mean1.25x,20,5,1.25,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59323120117188,attacked_measurement,0.0,0.0
0.600593,baseline_04_yaw_rotation,Yaw,ramp,0.022782,0,172.59376525878906,172.59376525878906,172.59405899047852,-0.0002937316894531,0.0002937316894531,0.003797,0,0.0,0.0002589634486582,0,0,0,W20_N5_mean1.25x,20,5,1.25,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59376525878906,attacked_measurement,0.0,0.0
0.700553,baseline_04_yaw_rotation,Yaw,ramp,0.022782,0,172.59457397460938,172.59457397460938,172.59501876831058,-0.0004447937012059,0.0004447937012059,0.003797,0,0.0,0.0002821922302267,0,0,0,W20_N5_mean1.25x,20,5,1.25,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59457397460938,attacked_measurement,0.0,0.0
0.800513,baseline_04_yaw_rotation,Yaw,ramp,0.022782,0,172.59503173828125,172.59503173828125,172.59528350830078,-0.0002517700195312,0.0002517700195312,0.003797,0,0.0,0.0002788119845939,0,0,0,W20_N5_mean1.25x,20,5,1.25,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.59503173828125,attacked_measurement,0.0,0.0
0.900473,baseline_04_yaw_rotation,Yaw,ramp,0.022782,0,172.5951690673828,172.5951690673828,172.5952445983887,-7.553100587642803e-05,7.553100587642803e-05,0.003797,0,0.0,0.0002584838867221,0,0,0,W20_N5_mean1.25x,20,5,1.25,1477,Yaw_hybrid_prediction,/home/tchowdh4/sensor_recovery_project/logs/extracted_csv/baseline_04_yaw_rotation_ATT.csv,/home/tchowdh4/sensor_recovery_project/prediction_results_v9_trained_hybrid/baseline_04_yaw_rotation_ATT_trained_hybrid_prediction_outputs.csv,172.5951690673828,attacked_measurement,0.0,0.0
